Mods count: 104
 
                                jar name                                  |    notes     |            mod id            |                 mod name                 |         mod version          |                                                                                                                                                                                                                                                                                                                               mixin configs                                                                                                                                                                                                                                                                                                                               |              modrinth hash               | curseforge hash
epic-knights-1.20.1-forge-10.6.jar                                        |              | magistuarmory                | Epic-Knights: Shields, Armor and Weapons | 10.6                         |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           | 783c04c0fddf6fab315821999c7305ccb522286a | 2023273730     
fancymenu_forge_3.9.3_MC_1.20.1.jar                                       |              | fancymenu                    | FancyMenu                                | 3.9.3                        | fancymenu.mixins.json, fancymenu.forge.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        | 22b779ac73923b39a02625adb108e7ee17a5502b | 1523227670     
    /META-INF/jarjar/animated-gif-lib-for-java-animated-gif-lib-1.7.jar   |              |                              |                                          |                              |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           |                                          |                
    /META-INF/jarjar/japng-0.5.3.jar                                      |              |                              |                                          |                              |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           |                                          |                
ferritecore-6.0.1-forge.jar                                               |              | ferritecore                  | Ferrite Core                             | 6.0.1                        | ferritecore.modelsides.mixin.json, ferritecore.mrl.mixin.json, ferritecore.dedupbakedquad.mixin.json, ferritecore.threaddetec.mixin.json, ferritecore.blockstatecache.mixin.json, ferritecore.dedupmultipart.mixin.json, ferritecore.fastmap.mixin.json, ferritecore.predicates.mixin.json                                                                                                                                                                                                                                                                                                                                                                                | 417fb6ce8f52abf40bd9d0390371790f9576f8ba | 2683111440     
figura-0.1.5+1.20.1-forge-mc.jar                                          |              | figura                       | Figura                                   | 0.1.5+1.20.1                 | figura-common.mixins.json, figura.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             | 7388a40f4c86c1af73c452b2eaf92893205c3dec | 4227091405     
    /META-INF/jars/luaj-core-3.0.8-figura.jar                             |              |                              |                                          |                              |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           |                                          |                
    /META-INF/jars/luaj-jse-3.0.8-figura.jar                              |              |                              |                                          |                              |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           |                                          |                
    /META-INF/jars/nv-websocket-client-2.14.jar                           |              |                              |                                          |                              |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           |                                          |                
FirmaCivilization-1.20.1-1.0.9.jar                                        |              | firmaciv                     | Firma: Civilization                      | 1.0.9                        | firmaciv.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      | 41e134f5dd02cc5030229c972b474a2e69793233 | 1567808822     
    /META-INF/jarjar/alekis-ridiculously-simple-roofs-1010046-5310531.jar |              | alekiroofs                   | AlekiRoofs-FORGE                         | 1.0.1-1.20.1                 |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           |                                          |                
Firmalife-1.20.1-2.1.27.jar                                               |              | firmalife                    | Firmalife                                | 2.1.27                       | firmalife.mixins.json, assets/firmalife/models/item/mixing_bowl.json, assets/tfc/patchouli_books/field_guide/ja_jp/entries/firmalife/mixing_bowl.json, assets/tfc/patchouli_books/field_guide/pt_br/entries/firmalife/mixing_bowl.json, assets/tfc/patchouli_books/field_guide/zh_tw/entries/firmalife/mixing_bowl.json, assets/firmalife/blockstates/mixing_bowl.json, assets/firmalife/models/block/mixing_bowl.json, assets/tfc/patchouli_books/field_guide/ru_ru/entries/firmalife/mixing_bowl.json, assets/tfc/patchouli_books/field_guide/zh_cn/entries/firmalife/mixing_bowl.json, assets/tfc/patchouli_books/field_guide/en_us/entries/firmalife/mixing_bowl.json | 94075d059dcfc562db2c5199bbe2020b6dcc44d5 | 3341432373     
FramedBlocks-9.4.3.jar                                                    |              | framedblocks                 | FramedBlocks                             | 9.4.3                        | framedblocks.mixin.json                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   | 740c0feaab75455f32df7e137389f77c83fb490c | 380347176      
    /META-INF/jarjar/caffeine-3.2.1.jar                                   |              |                              |                                          |                              |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           |                                          |                
ftb-essentials-forge-2001.2.4.jar                                         |              | ftbessentials                | FTB Essentials                           | 2001.2.4                     | ftbessentials-common.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          | 4f898578e3cc321397dbc59a0c44e2927000bd32 | 3908435669     
